testcase,description,category,preconditions,stepname,expected result,testdata,evidence required
TC-004 - Login — Invalid Password,"Verify that a user cannot log in with a registered email and an incorrect password, and the system displays an appropriate error message.",UI Form Validation — Negative,Previous step passed.,Enter a registered email with an incorrect password.,The email and password fields are populated with the provided data.,email: user@example.com | password: WrongPassword123,Screenshot of populated login form
TC-004 - Login — Invalid Password,"Verify that a user cannot log in with a registered email and an incorrect password, and the system displays an appropriate error message.",UI Form Validation — Negative,Previous step passed.,"Click ""Log In.""","System displays ""Invalid email or password"" error message. The error message is visible on the UI. The user remains on the login page.",N/A,Screenshot of error message 'Invalid email or password' | 401 Unauthorized response on /api/auth/login
TC-005 - Password Reset via Email Link,Verify that a registered user can successfully reset their password via an email link and log in with the new credentials.,UI Multi-Page Navigation,A registered user with email 'resetuser@shopsphere.com' and an existing password 'OldPassword@123' exists in the system. User is on the Login page.,"Click ""Forgot Password"" on the Login page.",User is successfully navigated to the 'Forgot Password' page.,N/A,Screenshot of the 'Forgot Password' page URL and title.
TC-005 - Password Reset via Email Link,Verify that a registered user can successfully reset their password via an email link and log in with the new credentials.,UI Multi-Page Navigation,Previous step passed.,Enter a registered email and submit.,"A confirmation message 'Password reset link sent to your email.' is displayed, indicating the email has been sent. The system sends a password reset email to 'resetuser@shopsphere.com'.",email: resetuser@shopsphere.com,Screenshot of the confirmation message. 200 OK response on /api/auth/forgot-password endpoint.
TC-005 - Password Reset via Email Link,Verify that a registered user can successfully reset their password via an email link and log in with the new credentials.,UI Multi-Page Navigation,Previous step passed. The password reset email has been sent and the reset link is available (simulated).,Open the reset email and click the reset link.,"User is successfully navigated to the 'Reset Password' page, with the reset token pre-filled or handled by the system.",N/A (simulated email link click),Screenshot of the 'Reset Password' page URL and form fields.
TC-005 - Password Reset via Email Link,Verify that a registered user can successfully reset their password via an email link and log in with the new credentials.,UI Multi-Page Navigation,Previous step passed.,Enter a new valid password and confirm.,"The new password is accepted. A success message 'Your password has been reset successfully.' is displayed, and the user is redirected to the Login page.",new_password: NewSecure@789 | confirm_password: NewSecure@789,Screenshot of the success message and redirection to Login page. 200 OK response on /api/auth/reset-password endpoint.
TC-005 - Password Reset via Email Link,Verify that a registered user can successfully reset their password via an email link and log in with the new credentials.,UI Multi-Page Navigation,Previous step passed. User is on the Login page with the new password set.,Log in with the registered email and the new password.,User is successfully logged in and redirected to the dashboard or home page.,email: resetuser@shopsphere.com | password: NewSecure@789,Screenshot of the logged-in user's dashboard/home page. 200 OK response on /api/auth/login endpoint.
TC-006 - Product Search by Keyword,Verify that searching for a product by keyword returns relevant results with correct pagination.,UI Dynamic Content Validation,Product catalog is indexed in Elasticsearch and synced from PostgreSQL via the nightly ETL job. User is on the home page.,Enter 'running shoes' in the search bar.,The search bar input field displays 'running shoes'.,search_keyword: running shoes,Screenshot of the search bar with 'running shoes' entered.
TC-006 - Product Search by Keyword,Verify that searching for a product by keyword returns relevant results with correct pagination.,UI Dynamic Content Validation,Previous step passed.,Click the search icon or press Enter.,"The search results page loads, displaying relevant, in-stock products matching 'running shoes'. Products are ranked by relevance, and the page shows pagination with 24 items per page.",N/A,Screenshot of the search results page showing product cards and pagination. Network tab screenshot showing search API call response time (ideally <300ms).
TC-007 - Product Filter — Category & Price Range,"Verify that users can effectively filter products by category and price range, and that the product list updates dynamically without a full page reload.",UI Element Interaction,Product catalog is indexed in Elasticsearch and synced from PostgreSQL via the nightly ETL job.,Navigate to the product catalog page,"User is successfully on the product catalog page, displaying a list of available products.",N/A,Screenshot of the product catalog page with products displayed.
TC-007 - Product Filter — Category & Price Range,"Verify that users can effectively filter products by category and price range, and that the product list updates dynamically without a full page reload.",UI Element Interaction,Previous step passed,Apply the 'Footwear' category filter,The product list updates to show only 'Footwear' items. The 'Footwear' filter option is visibly selected/highlighted. Updated facet counts are displayed.,Category: Footwear,"Screenshot of the product list showing only 'Footwear' items, with the 'Footwear' filter active. Network tab shows AJAX request for filter application."
TC-007 - Product Filter — Category & Price Range,"Verify that users can effectively filter products by category and price range, and that the product list updates dynamically without a full page reload.",UI Element Interaction,Previous step passed,Apply a price range filter of $50–$100,The product list updates to show only 'Footwear' items priced between $50 and $100. The price range filter is visibly applied. Updated facet counts are displayed. The page does not perform a full reload.,Price Range: Min $50 | Max $100,Screenshot of the product list showing 'Footwear' items within $50-$100 range. Verify URL remains unchanged and no full page refresh occurred.
TC-008 - Add Product to Cart,Verify that a user can successfully add an in-stock product to the shopping cart from its detail page.,UI Element Interaction,Product is in stock (quantity > 0) at the time it is added.,Open a product detail page for an in-stock item.,"The product detail page for 'ShopSphere T-Shirt (P001)' is displayed, showing product details, price, and 'Add to Cart' button.",Product ID: P001 | Product Name: ShopSphere T-Shirt | Status: In Stock,Screenshot of product detail page for 'ShopSphere T-Shirt'.
TC-008 - Add Product to Cart,Verify that a user can successfully add an in-stock product to the shopping cart from its detail page.,UI Element Interaction,Previous step passed.,Select size/variant if applicable.,"'Medium' size variant is successfully selected, and the selection is visually confirmed on the page.",Size: Medium,Screenshot showing 'Medium' size selected.
TC-008 - Add Product to Cart,Verify that a user can successfully add an in-stock product to the shopping cart from its detail page.,UI Element Interaction,Previous step passed.,"Click ""Add to Cart.""","Item is added to the cart, the cart badge count increments to '1', and a mini-cart confirmation drawer displays 'ShopSphere T-Shirt (Medium)' and the updated subtotal.",N/A,"Screenshot of cart badge showing '1', screenshot of mini-cart confirmation drawer."
TC-009 - Update Cart Item Quantity,"Verify that a user can update the quantity of an item in the shopping cart using the stepper control, and that the changes are reflected in subtotals and persist across page refreshes.",UI Element Interaction,Product is in stock (quantity > 0) at the time it is added.,Navigate to a product page and add an item to the cart.,"User is on the product page. Product 'ShopSphere T-Shirt' is added to the cart, cart icon shows '1', and a success notification is displayed. User is then navigated to the cart page.",Product ID: SS-TSHIRT-BLK | Quantity: 1,Screenshot of cart page showing 'ShopSphere T-Shirt' with quantity 1 and initial subtotal.
TC-009 - Update Cart Item Quantity,"Verify that a user can update the quantity of an item in the shopping cart using the stepper control, and that the changes are reflected in subtotals and persist across page refreshes.",UI Element Interaction,Previous step passed,Click the '+' button on the quantity stepper for 'ShopSphere T-Shirt'.,The quantity input field for 'ShopSphere T-Shirt' displays '2'. The item's subtotal and the overall cart total are updated to reflect the new quantity.,N/A,Screenshot of updated cart item quantity (2) and new subtotal/cart total.
TC-009 - Update Cart Item Quantity,"Verify that a user can update the quantity of an item in the shopping cart using the stepper control, and that the changes are reflected in subtotals and persist across page refreshes.",UI Element Interaction,Previous step passed,Refresh the cart page.,"The cart page reloads. The quantity for 'ShopSphere T-Shirt' remains '2', and the updated item subtotal and overall cart total persist.",N/A,"Screenshot of cart page after refresh, confirming persistent quantity and totals."
TC-010 - Cart Quantity Exceeds Available Stock,Verify that the system correctly caps the quantity of a product in the cart to its available stock when the user attempts to set a higher quantity.,UI Field-Level Validation,Product is in stock (quantity > 0) at the time it is added.,Navigate to the product detail page for a product with limited stock.,"User is on the product detail page for ""Limited Stock Item"" (e.g., PROD-005), displaying its name and ""3 units in stock"".",Product Name: Limited Stock Item | Available Stock: 3 | Product URL: /products/limited-stock-item-prod-005,Screenshot of the product detail page showing product name and stock count.
TC-010 - Cart Quantity Exceeds Available Stock,Verify that the system correctly caps the quantity of a product in the cart to its available stock when the user attempts to set a higher quantity.,UI Field-Level Validation,Previous step passed.,Add 1 unit of the product to the cart.,"Product ""Limited Stock Item"" is added to the cart. A success toast message is displayed, and the cart icon/badge updates to '1'.",Quantity to add: 1,Screenshot of success toast and updated cart badge.
TC-010 - Cart Quantity Exceeds Available Stock,Verify that the system correctly caps the quantity of a product in the cart to its available stock when the user attempts to set a higher quantity.,UI Field-Level Validation,Previous step passed.,Navigate to the shopping cart page.,"User is successfully redirected to the shopping cart page, showing ""Limited Stock Item"" with a quantity of 1.",N/A,Screenshot of the shopping cart page displaying the item and its current quantity.
TC-010 - Cart Quantity Exceeds Available Stock,Verify that the system correctly caps the quantity of a product in the cart to its available stock when the user attempts to set a higher quantity.,UI Field-Level Validation,Previous step passed.,"Locate the quantity input field for ""Limited Stock Item"" and attempt to change its value to 5.","The quantity input field for ""Limited Stock Item"" is updated. The system immediately caps the quantity displayed in the input field to '3'.",Desired quantity: 5,Screenshot of the quantity input field showing '3' after attempting to enter '5'.
TC-010 - Cart Quantity Exceeds Available Stock,Verify that the system correctly caps the quantity of a product in the cart to its available stock when the user attempts to set a higher quantity.,UI Field-Level Validation,Previous step passed.,Verify the warning message displayed.,"A warning message ""Only 3 left in stock"" is displayed near the quantity input field or as a general cart notification.","Expected warning message: ""Only 3 left in stock""",Screenshot of the warning message.
TC-011 - Remove Item from Cart,"Verify that a user can successfully remove an item from the shopping cart, leading to a recalculation of the cart total and an update of the cart badge count.",UI Element Interaction,Product is in stock (quantity > 0) at the time it is added.,"Navigate to product page for 'Awesome Widget' and add it to cart. Then navigate to product page for 'Super Gadget' and add it to cart. Finally, navigate to the shopping cart page.","User is on the cart page, displaying 'Awesome Widget' and 'Super Gadget' with correct quantities. The cart badge shows '2' items.","Product A: 'Awesome Widget', Quantity: 1 | Product B: 'Super Gadget', Quantity: 1",Screenshot of cart page showing two distinct items and cart badge count '2'.
TC-011 - Remove Item from Cart,"Verify that a user can successfully remove an item from the shopping cart, leading to a recalculation of the cart total and an update of the cart badge count.",UI Element Interaction,Previous step passed.,Click the 'Remove' (trash) icon associated with 'Awesome Widget' in the cart.,The 'Awesome Widget' item is visually removed from the cart. The cart total and cart badge count are updated to reflect one remaining item.,Item to remove: 'Awesome Widget',"Screenshot of cart page after removal, showing only 'Super Gadget' and updated cart badge count '1'."
TC-011 - Remove Item from Cart,"Verify that a user can successfully remove an item from the shopping cart, leading to a recalculation of the cart total and an update of the cart badge count.",UI Element Interaction,Previous step passed.,Verify the item is no longer present in the cart and the cart details are correct.,"The cart displays only 'Super Gadget'. The cart total is recalculated correctly for 'Super Gadget', and the cart badge count is '1'.",N/A,"Screenshot of the final cart state, verifying the absence of 'Awesome Widget' and correct totals for 'Super Gadget'."
TC-012 - Apply Valid Coupon Code,"Verify that a valid coupon code can be successfully applied at checkout, resulting in the correct discount and updated order total.",UI Form Validation,"A valid, active coupon code 'WELCOME10' exists in the system, offering a 10% discount with a minimum order threshold (e.g., $50).",Navigate to the checkout review page with a cart total above the coupon's minimum threshold.,"The user is successfully navigated to the checkout review page, displaying the cart summary with a subtotal of $100.00, which is greater than the coupon's minimum threshold.",Cart contains items with a total of $100.00.,Screenshot of the checkout review page showing cart items and subtotal.
TC-012 - Apply Valid Coupon Code,"Verify that a valid coupon code can be successfully applied at checkout, resulting in the correct discount and updated order total.",UI Form Validation,Previous step passed.,Enter the coupon code 'WELCOME10' into the coupon input field.,The coupon code 'WELCOME10' is visible in the input field.,coupon_code: WELCOME10,Screenshot of the coupon input field with 'WELCOME10' entered.
TC-012 - Apply Valid Coupon Code,"Verify that a valid coupon code can be successfully applied at checkout, resulting in the correct discount and updated order total.",UI Form Validation,Previous step passed.,Click the 'Apply' button next to the coupon input field.,"The system processes the coupon code. A loading indicator may appear briefly, and the page updates to reflect the applied discount.",,"Screenshot of the page after clicking 'Apply', showing any intermediate states or immediate changes."
TC-012 - Apply Valid Coupon Code,"Verify that a valid coupon code can be successfully applied at checkout, resulting in the correct discount and updated order total.",UI Form Validation,Previous step passed.,Verify that a 10% discount is applied and itemized separately in the order summary.,The order summary displays a new line item for 'Discount (WELCOME10)' with a value of '- $10.00'.,Expected discount amount: $10.00,Screenshot of the order summary showing the 'Discount (WELCOME10)' line item with the correct amount.
TC-012 - Apply Valid Coupon Code,"Verify that a valid coupon code can be successfully applied at checkout, resulting in the correct discount and updated order total.",UI Form Validation,Previous step passed.,Verify that the overall order total updates accordingly.,The 'Order Total' is updated from $100.00 to $90.00.,Expected final total: $90.00,Screenshot of the order summary showing the updated 'Order Total'.
TC-013 - Apply Expired Coupon Code,Verify that the system correctly rejects an expired coupon code during checkout and the order total remains unchanged.,UI Form Validation — Negative,User has items in their shopping cart. User is logged in (or proceeding as a guest). User has navigated to the checkout review page.,Proceed to checkout review.,"User is successfully on the checkout review page, displaying the order summary and an input field for coupon codes.",N/A,Screenshot of the checkout review page with order summary and coupon input visible.
TC-013 - Apply Expired Coupon Code,Verify that the system correctly rejects an expired coupon code during checkout and the order total remains unchanged.,UI Form Validation — Negative,Previous step passed.,Enter a coupon code that expired in the past.,The expired coupon code 'EXPIRED123' is visible in the coupon input field.,coupon_code: EXPIRED123,Screenshot showing 'EXPIRED123' entered into the coupon code input field.
TC-013 - Apply Expired Coupon Code,Verify that the system correctly rejects an expired coupon code during checkout and the order total remains unchanged.,UI Form Validation — Negative,Previous step passed.,"Click ""Apply.""","System displays the error message ""This coupon has expired"" near the coupon input field, and the displayed order total remains the same as before applying the coupon.",N/A,Screenshot of the error message 'This coupon has expired' and confirmation that the order total has not changed.
TC-014 - Guest Checkout — Full Flow,"Order is placed successfully without account creation, and an order-tracking link with a guest access token is emailed to the provided address.",UI Multi-Page Navigation,Cart contains at least one in-stock item with a valid shipping destination supported by the platform.,Navigate to a product page and add an item to the cart,"User is on the product page, and after clicking 'Add to Cart', the cart icon/count updates to '1', and a success toast message is displayed.","Product: 'ShopSphere T-Shirt', Quantity: 1","Screenshot of product page, Screenshot of cart badge showing '1', Screenshot of 'Item added to cart' toast."
TC-014 - Guest Checkout — Full Flow,"Order is placed successfully without account creation, and an order-tracking link with a guest access token is emailed to the provided address.",UI Multi-Page Navigation,Previous step passed,"Click on the cart icon, then 'Proceed to Checkout', and select 'Checkout as Guest'","User is redirected to the checkout page, the 'Checkout as Guest' option is pre-selected or explicitly selected, and the shipping details form is visible.",N/A,Screenshot of the checkout page with 'Checkout as Guest' selected and shipping form visible.
TC-014 - Guest Checkout — Full Flow,"Order is placed successfully without account creation, and an order-tracking link with a guest access token is emailed to the provided address.",UI Multi-Page Navigation,Previous step passed,"Fill in shipping address, email, and phone number details, then proceed to payment","All shipping details are successfully entered, validation passes, and the user is navigated to the payment details section of the checkout flow.",First Name: John | Last Name: Doe | Address Line 1: 123 Test St | City: Anytown | State: CA | Zip Code: 90210 | Email: guest@example.com | Phone: 555-123-4567,"Screenshot of filled shipping form, Screenshot of payment section being active/visible."
TC-014 - Guest Checkout — Full Flow,"Order is placed successfully without account creation, and an order-tracking link with a guest access token is emailed to the provided address.",UI Multi-Page Navigation,Previous step passed,Enter Stripe test payment details and click 'Place Order',"Payment details are successfully processed via Stripe, the order is placed, and the user is redirected to the order confirmation page displaying an order ID and a message about the tracking link being emailed.",Card Number: 4242 4242 4242 4242 | Expiry: 12/26 | CVC: 123 | Cardholder Name: John Doe,"Screenshot of order confirmation page with order ID, Screenshot of success message confirming email for tracking."
TC-015 - Checkout — Successful Payment,"TC-015 - Checkout — Successful Payment: Provide a unified two-step checkout flow supporting guest checkout, saved addresses, and saved/new payment methods processed through Stripe.",UI Form Validation & Redirect,Cart contains at least one in-stock item with a valid shipping destination supported by the platform.,Proceed to checkout with a valid cart.,"User is redirected to the checkout page, displaying shipping details form.",N/A (assumes cart is pre-populated),Screenshot of checkout page URL and shipping form.
TC-015 - Checkout — Successful Payment,"TC-015 - Checkout — Successful Payment: Provide a unified two-step checkout flow supporting guest checkout, saved addresses, and saved/new payment methods processed through Stripe.",UI Form Validation & Redirect,Previous step passed,Enter shipping details and select a shipping method.,"Shipping details are successfully entered, a shipping method is selected, and the payment section is enabled/displayed.",Full Name: John Doe | Address Line 1: 123 Main St | City: Anytown | State: CA | Zip Code: 90210 | Phone: 555-123-4567 | Shipping Method: Standard Shipping,"Screenshot of filled shipping form and selected shipping method, payment section visible."
TC-015 - Checkout — Successful Payment,"TC-015 - Checkout — Successful Payment: Provide a unified two-step checkout flow supporting guest checkout, saved addresses, and saved/new payment methods processed through Stripe.",UI Form Validation & Redirect,Previous step passed,Enter Stripe test card 4242 4242 4242 4242 with a valid future expiry and CVC.,"Payment details are successfully entered and validated by Stripe.js, enabling the 'Place Order' button.",Card Number: 4242 4242 4242 4242 | Expiry Date: 12/26 | CVC: 123,"Screenshot of payment form with entered card details, 'Place Order' button enabled."
TC-015 - Checkout — Successful Payment,"TC-015 - Checkout — Successful Payment: Provide a unified two-step checkout flow supporting guest checkout, saved addresses, and saved/new payment methods processed through Stripe.",UI Form Validation & Redirect,Previous step passed,"Click ""Place Order.""","PaymentIntent is confirmed, order status is set to ""Confirmed,"" inventory is decremented, and the user sees an order confirmation screen with the order number.",N/A,"Screenshot of order confirmation page with order number, 200 OK on payment confirmation API call."
TC-016 - Checkout — Declined Card,"Verify that the system correctly handles a declined credit card during checkout, displays the appropriate error message, and allows the user to retry.",UI Form Validation — Negative,Cart contains at least one in-stock item with a valid shipping destination supported by the platform.,Proceed to checkout with a valid cart.,"User is navigated to the checkout page, displaying cart summary and payment options.",N/A,Screenshot of checkout page with cart summary and payment form visible.
TC-016 - Checkout — Declined Card,"Verify that the system correctly handles a declined credit card during checkout, displays the appropriate error message, and allows the user to retry.",UI Form Validation — Negative,Previous step passed.,Enter Stripe test card 4000 0000 0000 0002 (generic decline).,Card details are successfully entered into the payment form fields.,Card Number: 4000 0000 0000 0002 | Expiry: 12/26 | CVC: 123 | Name on Card: Test User,Screenshot of payment form with entered card details.
TC-016 - Checkout — Declined Card,"Verify that the system correctly handles a declined credit card during checkout, displays the appropriate error message, and allows the user to retry.",UI Form Validation — Negative,Previous step passed.,"Click ""Place Order.""","System displays the Stripe decline reason 'Your card was declined', the cart contents are preserved, and payment input fields remain visible for retry.",N/A,"Screenshot of decline error message, preserved cart contents, and visible payment input fields."
TC-017 - Order Cancellation — Within Allowed Window,"Verify that a registered customer can successfully cancel an order that is still in 'Confirmed' status and within the allowed cancellation window, leading to a status change to 'Cancelled', refund initiation, and inventory restock.",UI Element Interaction,User is logged in as a registered customer. At least one order exists for the customer in 'Confirmed' status and is eligible for cancellation.,Navigate to 'My Orders' page and open details for an order in 'Confirmed' status.,"User is successfully navigated to the 'My Orders' page. A list of orders is displayed, and an order with 'Confirmed' status is visible. Clicking 'View Details' for this order opens its dedicated details page.",Customer Email: customer@shopsphere.com | Password: Password123! | Order ID: ORD-20240715-001 | Order Status: Confirmed,Screenshot of 'My Orders' page showing 'Confirmed' order. Screenshot of the order details page for the selected 'Confirmed' order.
TC-017 - Order Cancellation — Within Allowed Window,"Verify that a registered customer can successfully cancel an order that is still in 'Confirmed' status and within the allowed cancellation window, leading to a status change to 'Cancelled', refund initiation, and inventory restock.",UI Element Interaction,Previous step passed.,Click the 'Cancel Order' button and confirm the action in the subsequent dialog.,"The 'Cancel Order' button is visible and clickable. Upon clicking, a confirmation dialog appears. After confirming, the dialog closes, and a cancellation request is sent to the backend.",Confirmation: Yes,"Screenshot of the order details page with 'Cancel Order' button. Screenshot of the cancellation confirmation dialog. Screenshot of the page after confirmation, before status update."
TC-017 - Order Cancellation — Within Allowed Window,"Verify that a registered customer can successfully cancel an order that is still in 'Confirmed' status and within the allowed cancellation window, leading to a status change to 'Cancelled', refund initiation, and inventory restock.",UI Element Interaction,Previous step passed.,Observe the order status change and confirmation of refund/restock.,"The order status on the details page updates to 'Cancelled'. A success message or toast indicating successful cancellation and refund initiation is displayed. Backend systems (Stripe, inventory) are updated accordingly (verified via logs/APIs if possible, or implied by UI confirmation).",N/A,Screenshot of the order details page showing 'Cancelled' status. Screenshot of the cancellation success message/toast. Network tab screenshot showing 200 OK for cancellation API call.
TC-018 - Real-Time Order Tracking Update,"Allow customers to view order history, track real-time fulfillment status, cancel eligible orders, and initiate returns.",UI Dynamic Content Validation,At least one order exists for the customer or guest order-lookup token. Customer is logged in.,Navigate to the 'My Orders' page and select a 'Shipped' order.,"User is redirected to the 'My Orders' page. A 'Shipped' order is visible and clickable, indicating its status.",Customer: existing_user@test.com | Password: Secure@123 | Order Status: Shipped,Screenshot of 'My Orders' page with a 'Shipped' order card highlighted.
TC-018 - Real-Time Order Tracking Update,"Allow customers to view order history, track real-time fulfillment status, cancel eligible orders, and initiate returns.",UI Dynamic Content Validation,Previous step passed.,Click on the 'Track Order' button or link for the selected 'Shipped' order.,"User is redirected to the Order Details page, and the order tracking timeline section is prominently displayed.",N/A,Screenshot of Order Details page showing the tracking timeline section.
TC-018 - Real-Time Order Tracking Update,"Allow customers to view order history, track real-time fulfillment status, cancel eligible orders, and initiate returns.",UI Dynamic Content Validation,Previous step passed.,Verify the order tracking timeline displays the latest carrier scan event and estimated delivery date.,"Timeline reflects the latest carrier scan event (e.g., 'Out for Delivery', 'Delivered') with a specific timestamp and an estimated delivery date, indicating real-time updates.",Expected Carrier Scan Event: 'Out for Delivery' | Estimated Delivery Date: '2024-12-31',Screenshot of the tracking timeline showing the latest event and estimated delivery date. Network tab screenshot showing successful API call to fetch tracking data (200 OK).
TC-019 - Add Product to Wishlist,Verify that a registered customer can successfully add a product to their wishlist from the product detail page.,UI Element Interaction,User is authenticated and logged in.,Log in as a registered customer.,"User is successfully logged in and redirected to the dashboard or homepage, displaying a 'Welcome' message or user-specific content.",email: customer@shopsphere.com | password: SecureShop@123,"Screenshot of user dashboard/homepage, URL verification, 'Welcome, [username]' message visible."
TC-019 - Add Product to Wishlist,Verify that a registered customer can successfully add a product to their wishlist from the product detail page.,UI Element Interaction,Previous step passed.,Open a product detail page.,"Product detail page for 'ShopSphere Smartwatch' is displayed, showing product image, name, price, and an 'Add to Wishlist' icon in its inactive state.",Product ID: P001 | Product Name: ShopSphere Smartwatch | URL: /products/shopsphere-smartwatch-p001,"Screenshot of the product detail page, URL verification, product name 'ShopSphere Smartwatch' visible."
TC-019 - Add Product to Wishlist,Verify that a registered customer can successfully add a product to their wishlist from the product detail page.,UI Element Interaction,Previous step passed.,"Click the heart / ""Add to Wishlist"" icon.","Product is saved to the user's wishlist, the 'Add to Wishlist' icon reflects a filled/active state (e.g., changes color or text), and a success toast message 'Product added to wishlist!' is displayed.",N/A,"Screenshot of the filled heart icon, success toast message, and verification of the toast message text."
TC-020 - Submit Product Review & Rating,Verify that a registered customer can successfully submit a product review and rating for a purchased and delivered item.,UI Form Validation,User is authenticated; User has a delivered order containing the product.,Navigate to the Order History page and select a delivered order.,"User is on the Order History page, and a delivered order with reviewable items is displayed.",User credentials: user@test.com | password: Secure@123 | Order ID: ORD-2023001-DELIVERED,Screenshot of Order History page with delivered order visible.
TC-020 - Submit Product Review & Rating,Verify that a registered customer can successfully submit a product review and rating for a purchased and delivered item.,UI Form Validation,Previous step passed.,Click 'Write a Review' button for a purchased item within the delivered order.,The 'Write a Review' form/modal is displayed for the selected product.,Product Name: 'ShopSphere Smartwatch X',Screenshot of the 'Write a Review' form.
TC-020 - Submit Product Review & Rating,Verify that a registered customer can successfully submit a product review and rating for a purchased and delivered item.,UI Form Validation,Previous step passed.,Select a 5-star rating and enter a positive review text.,"The 5-star rating is selected, and the review text field contains the entered text.",Rating: 5 stars | Review Text: 'Absolutely love this product! Great quality and features. Highly recommend!',Screenshot of the review form with rating and text entered.
TC-020 - Submit Product Review & Rating,Verify that a registered customer can successfully submit a product review and rating for a purchased and delivered item.,UI Form Validation,Previous step passed.,Click the 'Submit Review' button.,"Review is accepted, a success message is displayed, and the product's aggregate rating is updated on the product page, tagged 'Verified Purchase'.",N/A,Screenshot of success message/toast. Screenshot of product page showing updated rating and 'Verified Purchase' tag.
TC-021 - Admin — Add New Product to Catalog,"Verify that an Admin with 'Catalog Manager' role can successfully add a new product to the catalog, and it becomes immediately available on the storefront.",UI Form Validation,Product catalog is indexed in Elasticsearch and synced from PostgreSQL via the nightly ETL job. Admin portal is accessible and 'Catalog Manager' role exists.,Log in to the Admin Portal as 'Catalog Manager',"Admin Portal dashboard is displayed, user is authenticated as 'Catalog Manager'.",email: catalog.manager@shopsphere.com | password: AdminSecure@123,"Screenshot of Admin Dashboard, 200 OK on /api/admin/login"
